age,body_type,diet,drinks,drugs,height,sex,smokes
59,a little extra,anything,socially,never,62.0,f,no
33,average,anything,rarely,never,72.0,m,no
24,thin,vegetarian,socially,never,59.0,f,when drinking
43,thin,anything,socially,never,65.0,f,no
29,average,anything,socially,sometimes,70.0,m,no
21,a little extra,anything,not at all,never,70.0,m,no
42,athletic,anything,socially,never,63.0,f,no
30,average,anything,socially,never,68.0,f,no
58,athletic,anything,rarely,never,70.0,f,no
50,thin,anything,socially,never,66.0,f,no
66,fit,anything,socially,never,65.0,f,no
28,average,anything,socially,never,72.0,m,sometimes
22,average,vegetarian,socially,never,63.0,f,yes
35,average,other,rarely,never,67.0,m,no
30,average,anything,socially,never,69.0,m,no
29,fit,other,socially,never,80.0,m,no
28,athletic,anything,socially,sometimes,73.0,m,no
34,average,anything,socially,never,62.0,f,when drinking
39,thin,anything,socially,never,72.0,m,trying to quit
26,curvy,anything,often,sometimes,67.0,f,yes
46,fit,anything,socially,never,68.0,m,no
30,average,anything,socially,never,62.0,f,no
50,average,anything,socially,never,64.0,f,no
46,thin,anything,socially,never,66.0,f,no
41,athletic,anything,rarely,never,67.0,m,trying to quit
29,athletic,anything,socially,never,62.0,f,no
53,average,other,rarely,never,69.0,f,no
39,fit,vegetarian,rarely,never,69.0,m,no
59,thin,anything,not at all,never,63.0,f,no
42,fit,anything,rarely,sometimes,64.0,f,no
27,athletic,anything,rarely,never,80.0,m,no
45,average,other,socially,never,60.0,f,no
47,average,anything,rarely,never,69.0,m,no
49,average,vegetarian,socially,sometimes,63.0,f,no
26,athletic,vegetarian,socially,sometimes,72.0,m,no
36,fit,anything,socially,never,63.0,f,no
47,average,anything,not at all,never,72.0,m,sometimes
51,fit,anything,socially,never,70.0,m,no
28,athletic,anything,socially,never,73.0,m,no
48,average,vegetarian,socially,never,62.0,f,no
47,fit,anything,not at all,never,72.0,m,no
34,curvy,anything,socially,sometimes,66.0,f,trying to quit
37,fit,anything,often,sometimes,65.0,f,sometimes
32,athletic,anything,socially,never,71.0,m,no
33,average,anything,socially,never,64.0,f,no
42,average,other,socially,sometimes,75.0,m,trying to quit
29,fit,anything,socially,never,70.0,m,no
55,average,anything,socially,never,73.0,m,no
31,average,vegetarian,not at all,never,64.0,f,no
39,thin,anything,not at all,never,68.0,f,no
50,athletic,anything,socially,never,74.0,m,no
29,curvy,vegetarian,socially,never,61.0,f,no
35,fit,vegetarian,socially,never,72.0,m,no
19,average,vegetarian,socially,sometimes,67.0,f,sometimes
62,thin,anything,socially,never,64.0,f,no
44,fit,anything,socially,never,68.0,f,no
24,athletic,vegetarian,socially,never,69.0,m,no
40,curvy,anything,not at all,never,68.0,f,no
63,average,anything,socially,never,65.0,f,no
53,average,anything,socially,never,62.0,f,no
22,athletic,anything,socially,sometimes,70.0,m,when drinking
61,average,anything,socially,never,63.0,f,trying to quit
34,athletic,anything,socially,never,67.0,f,no
30,athletic,anything,socially,never,73.0,m,sometimes
20,average,anything,socially,sometimes,69.0,m,no
43,fit,anything,socially,never,66.0,f,no
19,a little extra,anything,not at all,never,72.0,m,no
60,athletic,anything,not at all,never,68.0,m,no
34,curvy,anything,rarely,never,68.0,f,no
26,fit,vegetarian,socially,never,75.0,m,no
44,average,anything,socially,never,65.0,f,no
37,curvy,vegetarian,socially,sometimes,68.0,f,when drinking
30,skinny,anything,often,sometimes,69.0,f,no
26,average,anything,socially,never,73.0,m,no
34,average,anything,rarely,never,73.0,m,no
48,fit,anything,rarely,never,69.0,m,no
27,average,anything,rarely,never,63.0,f,no
35,average,vegan,socially,never,71.0,m,no
47,athletic,anything,socially,never,66.0,f,no
31,athletic,anything,socially,never,74.0,m,no
30,athletic,anything,socially,never,68.0,m,no
25,fit,anything,socially,never,70.0,f,no
33,thin,anything,not at all,never,68.0,m,no
54,athletic,vegetarian,rarely,never,76.0,m,no
30,athletic,vegetarian,socially,never,67.0,m,no
57,athletic,vegan,rarely,sometimes,69.0,m,no
41,skinny,anything,socially,never,72.0,m,no
40,fit,anything,socially,never,64.0,f,no
37,fit,vegetarian,not at all,never,76.0,m,no
60,fit,anything,socially,never,71.0,m,no
22,jacked,anything,often,sometimes,91.0,f,no
57,average,vegetarian,rarely,never,62.0,f,no
43,curvy,anything,socially,never,67.0,f,no
20,average,anything,socially,never,62.0,f,no
29,skinny,vegetarian,socially,never,71.0,m,no
41,thin,anything,socially,never,64.0,f,no
23,fit,anything,socially,never,68.0,m,no
49,curvy,other,socially,never,68.0,f,no
59,average,anything,socially,never,71.0,m,no
59,fit,anything,socially,never,68.0,f,no
33,full figured,anything,often,never,73.0,f,no
36,average,anything,socially,never,71.0,m,no
30,thin,vegetarian,socially,never,67.0,f,no
29,athletic,anything,socially,never,68.0,m,no
28,fit,anything,socially,never,67.0,m,no
29,a little extra,vegetarian,socially,sometimes,79.0,m,no
47,fit,anything,socially,never,76.0,m,no
24,fit,anything,socially,never,69.0,m,no
39,average,anything,not at all,never,71.0,m,yes
52,thin,anything,often,never,65.0,f,no
38,athletic,vegetarian,socially,never,68.0,m,no
32,fit,anything,socially,never,61.0,f,no
31,fit,vegan,rarely,never,64.0,f,no
22,average,anything,socially,never,64.0,f,no
44,average,anything,socially,never,72.0,m,trying to quit
23,average,anything,socially,sometimes,64.0,f,no
32,average,anything,socially,never,64.0,f,no
39,fit,vegan,not at all,never,63.0,f,no
47,fit,vegetarian,socially,never,66.0,f,no
33,athletic,anything,socially,sometimes,70.0,m,trying to quit
21,fit,anything,socially,never,68.0,f,when drinking
38,fit,vegetarian,rarely,never,64.0,f,no
33,a little extra,anything,socially,sometimes,67.0,m,yes
25,average,anything,socially,never,70.0,m,no
23,overweight,anything,very often,often,72.0,m,no
48,fit,anything,rarely,never,70.0,m,no
27,fit,anything,socially,never,71.0,m,no
59,fit,anything,socially,never,64.0,m,no
24,fit,anything,socially,never,68.0,m,no
32,used up,anything,desperately,never,72.0,m,no
30,athletic,anything,socially,never,75.0,m,no
18,athletic,anything,socially,never,73.0,m,no
27,thin,vegetarian,socially,never,64.0,f,no
43,average,anything,often,often,69.0,m,when drinking
27,athletic,anything,socially,never,68.0,m,no
30,average,anything,socially,never,71.0,m,no
41,average,anything,socially,never,75.0,m,trying to quit
37,average,anything,socially,never,68.0,m,no
42,athletic,anything,socially,never,72.0,m,no
26,curvy,anything,socially,never,64.0,f,no
37,fit,anything,socially,sometimes,75.0,m,no
50,average,anything,often,never,70.0,m,no
32,average,anything,socially,never,69.0,m,no
49,athletic,anything,socially,sometimes,70.0,m,no
32,curvy,anything,rarely,sometimes,83.0,m,when drinking
26,a little extra,vegan,desperately,often,59.0,f,yes
23,average,anything,socially,sometimes,71.0,m,yes
28,athletic,anything,rarely,never,69.0,m,no
44,athletic,anything,socially,sometimes,76.0,m,no
30,curvy,anything,rarely,never,66.0,f,no
26,thin,vegetarian,socially,sometimes,72.0,m,no
36,average,anything,often,sometimes,72.0,m,yes
41,fit,anything,often,never,66.0,f,no
45,athletic,anything,socially,never,70.0,m,no
26,average,anything,often,never,76.0,m,sometimes
23,fit,anything,socially,never,67.0,m,no
29,average,anything,socially,never,74.0,m,no
33,thin,anything,not at all,never,60.0,f,no
52,a little extra,anything,socially,never,70.0,m,no
25,athletic,anything,socially,never,63.0,m,trying to quit
61,fit,anything,socially,never,68.0,m,no
28,average,anything,socially,never,71.0,m,when drinking
35,average,vegetarian,not at all,sometimes,73.0,m,no
29,athletic,anything,socially,never,68.0,f,no
45,average,anything,socially,never,65.0,m,no
49,average,anything,socially,never,69.0,f,no
25,skinny,anything,socially,never,63.0,f,no
44,thin,vegetarian,socially,sometimes,63.0,f,when drinking
52,athletic,anything,rarely,never,72.0,m,no
30,fit,anything,rarely,sometimes,66.0,f,no
58,curvy,anything,socially,never,64.0,f,no
44,fit,anything,socially,never,68.0,f,no
38,curvy,anything,socially,sometimes,67.0,f,no
47,average,anything,rarely,never,63.0,f,no
28,fit,vegetarian,often,sometimes,68.0,m,no
64,average,anything,rarely,never,67.0,f,no
37,athletic,vegetarian,socially,never,64.0,m,no
57,a little extra,anything,not at all,never,68.0,f,no
64,athletic,vegetarian,socially,never,69.0,f,no
41,full figured,anything,rarely,never,69.0,m,no
26,average,anything,socially,never,73.0,m,when drinking
52,a little extra,other,socially,never,72.0,m,no
45,curvy,anything,socially,never,63.0,f,no
24,average,anything,not at all,never,68.0,f,yes
26,skinny,anything,socially,never,64.0,f,no
25,fit,anything,socially,never,64.0,f,no
35,athletic,anything,socially,never,71.0,m,no
21,athletic,anything,socially,sometimes,74.0,m,sometimes
48,fit,anything,socially,never,69.0,f,no
27,athletic,anything,very often,sometimes,71.0,m,when drinking
31,thin,anything,socially,never,74.0,m,when drinking
55,curvy,other,socially,never,64.0,f,no
37,athletic,other,socially,never,65.0,f,no
24,average,anything,socially,never,74.0,m,trying to quit
32,average,anything,socially,never,64.0,f,no
18,average,anything,not at all,never,70.0,m,no
19,fit,anything,socially,never,75.0,m,no
22,fit,anything,socially,never,61.0,f,no
36,athletic,anything,socially,never,70.0,f,trying to quit
19,overweight,anything,socially,never,63.0,f,no
43,curvy,anything,socially,never,62.0,f,no
33,skinny,anything,socially,never,61.0,f,no
27,skinny,vegetarian,often,never,69.0,f,no
26,average,anything,socially,never,71.0,m,no
38,athletic,anything,socially,never,69.0,m,no
31,fit,anything,socially,never,70.0,m,no
27,skinny,anything,often,never,73.0,m,no
33,athletic,anything,socially,never,67.0,m,no
32,fit,anything,socially,never,70.0,m,no
34,fit,vegetarian,socially,never,62.0,f,no
30,fit,anything,socially,never,64.0,f,no
61,average,other,not at all,never,68.0,m,no
34,curvy,anything,socially,never,66.0,f,no
29,athletic,anything,socially,never,72.0,m,no
30,athletic,anything,socially,never,70.0,m,no
29,fit,anything,socially,never,70.0,m,no
42,average,anything,very often,never,69.0,m,no
43,full figured,anything,socially,sometimes,64.0,f,no
26,a little extra,anything,socially,never,72.0,f,when drinking
39,thin,anything,socially,sometimes,74.0,m,no
28,athletic,other,socially,never,72.0,m,no
36,a little extra,anything,not at all,never,67.0,m,trying to quit
39,average,anything,socially,never,72.0,m,no
40,fit,anything,socially,never,70.0,m,no
26,average,vegetarian,very often,sometimes,74.0,m,sometimes
25,skinny,anything,rarely,never,64.0,f,when drinking
36,athletic,vegetarian,socially,never,62.0,m,no
35,fit,anything,often,sometimes,67.0,m,trying to quit
27,athletic,anything,socially,never,74.0,m,no
33,thin,anything,socially,never,64.0,f,no
33,fit,anything,socially,never,73.0,m,no
32,average,anything,socially,sometimes,66.0,m,no
24,fit,anything,socially,never,69.0,m,sometimes
31,average,anything,socially,never,69.0,m,trying to quit
22,athletic,vegetarian,socially,often,68.0,m,trying to quit
47,fit,anything,often,never,73.0,m,no
39,average,anything,socially,never,60.0,f,no
34,average,anything,socially,never,71.0,m,yes
30,fit,anything,socially,never,70.0,m,no
28,fit,anything,socially,never,71.0,m,no
32,average,anything,socially,never,69.0,m,no
38,curvy,anything,rarely,never,68.0,f,no
25,skinny,anything,socially,never,64.0,f,no
24,athletic,anything,socially,never,72.0,m,sometimes
32,athletic,anything,socially,never,69.0,m,no
31,athletic,anything,socially,never,69.0,m,no
40,average,vegetarian,not at all,never,67.0,f,no
30,thin,anything,socially,never,65.0,f,no
27,athletic,vegetarian,socially,never,69.0,f,no
23,average,anything,often,sometimes,68.0,m,no
26,a little extra,anything,socially,never,74.0,m,no
40,thin,vegan,socially,never,75.0,m,trying to quit
28,fit,vegetarian,socially,never,69.0,f,no
23,athletic,other,socially,sometimes,70.0,m,trying to quit
23,athletic,anything,socially,never,71.0,m,trying to quit
30,fit,anything,socially,sometimes,72.0,m,yes
25,fit,vegetarian,socially,never,68.0,m,sometimes
25,athletic,anything,socially,never,70.0,m,no
35,curvy,anything,socially,never,60.0,f,no
24,athletic,anything,socially,never,74.0,m,no
26,skinny,anything,socially,sometimes,72.0,f,when drinking
29,a little extra,anything,socially,never,69.0,m,no
36,average,anything,socially,never,64.0,f,no
46,thin,anything,socially,sometimes,65.0,f,yes
59,a little extra,anything,often,sometimes,70.0,m,no
19,thin,anything,not at all,never,70.0,m,no
31,athletic,anything,socially,never,73.0,m,no
21,athletic,kosher,rarely,never,66.0,m,sometimes
38,overweight,anything,rarely,never,74.0,m,no
31,athletic,vegan,desperately,sometimes,69.0,m,no
21,fit,vegetarian,socially,never,67.0,f,no
42,fit,anything,socially,never,68.0,m,no
42,thin,anything,socially,never,72.0,m,no
46,athletic,anything,socially,never,68.0,m,no
37,fit,anything,socially,never,64.0,f,no
29,a little extra,anything,socially,never,72.0,m,no
25,average,vegetarian,often,sometimes,70.0,m,no
23,skinny,anything,not at all,never,67.0,m,no
35,average,anything,rarely,never,73.0,m,no
33,fit,anything,socially,never,68.0,m,no
30,fit,vegetarian,socially,never,71.0,m,no
34,athletic,vegetarian,often,sometimes,68.0,f,no
30,thin,anything,socially,never,70.0,m,no
20,average,anything,socially,sometimes,67.0,m,trying to quit
31,average,anything,socially,never,68.0,m,no
23,thin,anything,socially,sometimes,71.0,m,when drinking
25,a little extra,anything,socially,sometimes,72.0,m,yes
28,curvy,vegan,rarely,never,63.0,f,no
40,fit,anything,socially,never,69.0,m,no
22,fit,anything,socially,never,75.0,m,no
29,fit,anything,rarely,never,72.0,m,no
36,average,anything,rarely,never,74.0,m,no
35,average,anything,socially,never,71.0,f,no
29,thin,anything,socially,never,64.0,m,no
39,fit,anything,socially,never,68.0,m,no
36,curvy,anything,socially,never,61.0,f,no
25,thin,anything,socially,never,76.0,m,no
27,fit,anything,socially,never,75.0,m,no
29,average,anything,socially,never,72.0,m,no
30,thin,vegetarian,socially,never,70.0,m,no
26,fit,anything,rarely,sometimes,69.0,m,no
24,athletic,anything,socially,never,63.0,f,no
34,athletic,anything,socially,never,66.0,m,no
24,average,vegetarian,very often,sometimes,68.0,m,when drinking
27,athletic,other,socially,never,73.0,m,no
22,athletic,anything,socially,never,68.0,m,no
21,skinny,anything,socially,never,67.0,f,no
25,athletic,anything,socially,never,67.0,m,no
32,athletic,vegetarian,socially,sometimes,70.0,m,when drinking
32,thin,anything,socially,never,63.0,f,no
26,average,anything,socially,never,67.0,m,no
21,curvy,vegetarian,often,sometimes,66.0,f,sometimes
36,fit,anything,not at all,never,73.0,m,no
27,fit,vegetarian,socially,never,76.0,m,no
21,fit,anything,rarely,never,71.0,m,no
33,used up,anything,often,sometimes,70.0,m,yes
29,a little extra,anything,not at all,never,62.0,f,no
25,athletic,anything,socially,never,67.0,f,no
21,curvy,anything,socially,never,66.0,f,no
27,average,anything,socially,never,73.0,m,no
38,curvy,other,socially,never,65.0,f,no
32,average,anything,socially,never,66.0,m,no
42,athletic,vegetarian,rarely,never,67.0,m,no
34,average,anything,socially,sometimes,64.0,f,no
26,fit,vegan,socially,never,70.0,m,no
26,fit,anything,socially,never,70.0,m,no
22,average,vegan,not at all,never,64.0,f,no
24,average,vegetarian,socially,sometimes,65.0,f,no
27,fit,vegan,rarely,sometimes,72.0,m,no
24,skinny,anything,socially,never,67.0,m,when drinking
34,curvy,anything,socially,never,68.0,m,no
40,average,anything,rarely,never,70.0,m,no
24,thin,anything,socially,never,65.0,f,no
23,average,vegetarian,rarely,sometimes,71.0,m,no
29,average,anything,socially,never,64.0,f,no
29,thin,anything,socially,never,66.0,f,no
31,thin,anything,often,sometimes,71.0,m,yes
28,athletic,anything,socially,sometimes,73.0,m,when drinking
25,thin,anything,socially,never,66.0,f,no
31,athletic,anything,often,sometimes,71.0,m,no
28,thin,anything,socially,sometimes,69.0,m,no
26,thin,anything,socially,sometimes,68.0,f,when drinking
24,thin,anything,socially,never,66.0,f,no
25,average,anything,often,sometimes,67.0,f,when drinking
28,athletic,vegetarian,not at all,never,73.0,m,sometimes
34,athletic,anything,socially,never,66.0,f,no
21,thin,anything,socially,never,60.0,f,no
30,average,anything,socially,never,69.0,m,no
23,athletic,anything,socially,sometimes,65.0,f,no
24,average,anything,socially,never,65.0,f,no
40,fit,anything,often,never,71.0,m,no
27,full figured,other,rarely,sometimes,66.0,f,no
30,fit,anything,socially,never,64.0,f,no
29,thin,anything,socially,never,70.0,f,no
22,fit,vegetarian,socially,sometimes,66.0,f,when drinking
31,curvy,anything,socially,never,68.0,f,no
22,average,anything,rarely,never,61.0,f,no
30,athletic,other,socially,never,72.0,m,no
36,fit,anything,socially,never,65.0,f,no
23,athletic,anything,socially,never,74.0,m,no
20,skinny,anything,socially,sometimes,66.0,f,sometimes
35,athletic,anything,socially,sometimes,67.0,f,no
35,average,anything,rarely,never,71.0,m,no
29,curvy,anything,socially,never,64.0,f,no
24,fit,anything,socially,never,67.0,m,no
31,fit,vegetarian,socially,never,66.0,f,no
26,fit,anything,socially,never,70.0,m,no
25,average,anything,socially,never,66.0,m,no
36,average,anything,socially,never,71.0,m,no
35,average,anything,socially,never,66.0,f,no
37,jacked,anything,socially,never,60.0,f,no
28,average,anything,not at all,never,76.0,m,no
32,thin,anything,often,never,68.0,f,no
26,athletic,anything,socially,sometimes,64.0,f,no
37,average,anything,socially,never,67.0,f,no
41,fit,other,rarely,never,74.0,m,no
26,athletic,anything,socially,never,63.0,f,no
29,a little extra,anything,often,sometimes,68.0,f,no
33,thin,vegetarian,socially,sometimes,65.0,f,no
37,athletic,vegetarian,socially,sometimes,72.0,m,sometimes
28,average,anything,socially,never,75.0,m,no
28,thin,anything,socially,never,64.0,f,no
25,thin,anything,socially,never,62.0,f,trying to quit
34,athletic,anything,socially,never,75.0,m,no
35,fit,anything,socially,never,66.0,m,no
31,fit,vegetarian,socially,never,74.0,m,no
26,average,anything,socially,never,66.0,m,no
25,curvy,anything,socially,never,61.0,f,no
21,fit,vegetarian,socially,never,68.0,f,no
45,a little extra,anything,not at all,never,68.0,m,no
30,average,anything,socially,never,67.0,m,no
25,curvy,anything,socially,never,67.0,f,no
23,fit,anything,socially,never,72.0,m,no
22,fit,anything,socially,never,69.0,m,no
35,average,anything,often,never,72.0,m,no
32,athletic,anything,socially,never,74.0,m,no
35,fit,anything,socially,never,66.0,f,no
26,fit,anything,often,never,63.0,m,no
24,fit,anything,socially,never,67.0,m,no
27,fit,anything,socially,sometimes,69.0,f,when drinking
24,overweight,anything,not at all,never,68.0,m,no
28,average,anything,socially,never,74.0,m,no
33,thin,anything,socially,sometimes,73.0,m,when drinking
28,fit,anything,socially,never,69.0,m,no
42,athletic,anything,socially,never,67.0,f,no
28,average,halal,rarely,never,71.0,m,no
27,curvy,anything,socially,never,62.0,f,no
24,athletic,vegetarian,socially,often,66.0,f,no
40,average,anything,socially,never,70.0,m,no
37,fit,anything,rarely,never,70.0,m,no
48,a little extra,anything,socially,never,70.0,m,no
28,thin,anything,rarely,never,63.0,f,no
38,average,anything,socially,sometimes,68.0,m,no
44,average,anything,not at all,never,71.0,m,no
31,fit,anything,socially,sometimes,72.0,m,no
23,a little extra,anything,socially,never,64.0,f,no
37,fit,anything,often,sometimes,68.0,m,no
28,average,anything,socially,never,71.0,m,no
18,average,anything,socially,sometimes,71.0,m,when drinking
21,average,anything,rarely,never,71.0,m,no
28,average,anything,socially,sometimes,73.0,m,when drinking
43,fit,vegetarian,not at all,never,69.0,m,no
45,athletic,anything,socially,never,71.0,m,no
25,athletic,anything,socially,never,69.0,m,no
28,fit,anything,socially,never,67.0,f,no
25,fit,vegetarian,socially,never,70.0,m,no
24,full figured,anything,rarely,never,71.0,m,no
30,athletic,anything,socially,never,69.0,m,no
40,thin,anything,socially,never,71.0,m,no
25,thin,anything,rarely,never,70.0,f,no
31,thin,vegetarian,socially,never,61.0,f,no
27,athletic,anything,socially,never,75.0,m,no
30,fit,anything,socially,never,74.0,m,no
34,a little extra,anything,socially,never,67.0,f,no
27,athletic,anything,socially,never,74.0,m,no
24,average,anything,socially,never,69.0,f,no
25,fit,anything,socially,never,70.0,m,no
28,fit,anything,often,never,69.0,m,no
20,average,anything,socially,sometimes,71.0,m,yes
37,average,other,rarely,never,72.0,m,no
37,fit,anything,socially,never,73.0,m,no
42,average,anything,socially,never,73.0,m,no
30,fit,anything,socially,never,72.0,m,no
23,average,anything,socially,never,72.0,m,no
30,a little extra,anything,socially,never,70.0,m,sometimes
24,skinny,vegetarian,socially,sometimes,68.0,m,no
33,average,anything,socially,never,68.0,m,no
27,fit,anything,socially,never,70.0,m,no
31,thin,anything,socially,never,74.0,m,no
23,athletic,anything,socially,never,72.0,m,no
35,athletic,anything,socially,never,73.0,m,no
20,athletic,anything,socially,sometimes,68.0,m,when drinking
24,fit,anything,socially,never,72.0,m,no
37,average,anything,rarely,sometimes,69.0,m,no
23,fit,anything,socially,sometimes,71.0,m,no
18,athletic,anything,not at all,never,69.0,m,no
25,fit,anything,socially,never,71.0,m,no
28,a little extra,anything,socially,never,70.0,m,no
31,fit,anything,rarely,never,65.0,f,no
35,thin,anything,socially,never,66.0,f,no
29,athletic,anything,desperately,never,72.0,m,no
24,athletic,anything,socially,never,70.0,m,no
64,average,anything,rarely,never,68.0,f,no
30,athletic,anything,socially,never,64.0,f,no
21,thin,anything,not at all,never,69.0,f,no
37,fit,anything,socially,never,67.0,f,no
24,fit,anything,socially,never,70.0,m,no
25,athletic,anything,socially,never,68.0,f,no
26,fit,vegetarian,socially,never,66.0,f,no
29,athletic,anything,socially,never,69.0,m,sometimes
58,fit,anything,socially,never,63.0,f,no
34,curvy,vegetarian,socially,never,66.0,f,no
25,fit,anything,socially,never,68.0,m,no
30,thin,anything,socially,never,67.0,m,no
25,a little extra,anything,socially,never,71.0,m,when drinking
25,jacked,other,socially,never,64.0,f,no
25,fit,anything,often,never,68.0,f,no
39,athletic,anything,socially,never,69.0,m,no
30,athletic,other,rarely,never,72.0,m,no
35,fit,anything,not at all,never,72.0,m,no
28,average,anything,socially,never,69.0,m,no
22,average,anything,rarely,never,67.0,m,no
43,a little extra,anything,socially,never,71.0,m,no
37,a little extra,anything,not at all,sometimes,72.0,m,no
25,athletic,anything,socially,never,70.0,m,no
37,average,anything,socially,never,66.0,f,no
40,fit,vegetarian,socially,never,68.0,f,no
29,thin,anything,socially,never,64.0,f,no
30,athletic,anything,socially,never,74.0,m,no
27,skinny,anything,socially,never,68.0,m,no
25,a little extra,anything,socially,never,70.0,m,no
31,athletic,anything,socially,never,69.0,m,no
26,athletic,anything,socially,never,68.0,m,no
30,athletic,anything,socially,never,71.0,m,no
41,average,vegetarian,socially,never,68.0,f,no
30,fit,anything,socially,never,62.0,f,no
26,athletic,anything,socially,never,70.0,m,no
46,a little extra,anything,socially,never,71.0,m,no
31,fit,anything,often,sometimes,73.0,m,no
44,average,anything,socially,never,69.0,m,no
38,overweight,anything,rarely,never,70.0,f,no
31,fit,anything,socially,never,62.0,f,no
29,athletic,anything,socially,sometimes,64.0,m,no
23,athletic,anything,socially,never,75.0,m,no
26,a little extra,vegetarian,not at all,never,77.0,m,no
21,athletic,halal,often,sometimes,72.0,m,no
32,athletic,vegetarian,socially,never,65.0,f,no
33,fit,anything,desperately,sometimes,76.0,m,no
32,a little extra,anything,often,sometimes,65.0,f,sometimes
40,average,vegan,often,sometimes,70.0,m,no
22,curvy,vegetarian,socially,never,63.0,f,no
65,thin,anything,socially,never,62.0,f,no
31,fit,anything,socially,never,68.0,m,no
41,curvy,anything,not at all,never,68.0,f,sometimes
22,athletic,anything,socially,never,76.0,m,no
27,fit,anything,socially,never,64.0,f,no
